municipio_id,municipio,muni_area_km2,line_km_total,line_km_HV,line_km_MV,line_km_unknown,substation_count_distribution,substation_count_generation,substation_count_industrial,substation_count_minor_distribution,substation_count_switching,substation_count_transmission,substation_count_yes,plant_count,generator_count_diesel,generator_count_hydro,generator_count_oil,generator_count_solar,generator_count_wind,line_km_per_km2,HV_km_per_km2,grid_intensity_index
093,PR-093,95.19711015804377,14.129503359364696,0.0,14.051263381548937,0.07823997781575852,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14842365840630312,0.0,-2.751238820020579
095,PR-095,57.61737737785786,15.30130753415277,7.386572394950814,7.914735139201955,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26556758100609074,0.12820042721676267,-1.23520018364958
097,PR-097,192.16674116209245,77.8299484347247,47.74117803106674,23.44745771929327,6.641312684364687,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,290.0,0.0,0.40501258419673786,0.24843621608172614,1.308010808199163
099,PR-099,130.93653573211134,23.033828537947382,12.489860974575011,10.213303630159238,0.3306639332131319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17591597646262216,0.09538866218462165,-1.9318517154272064
101,PR-101,101.06124195044066,17.901330474553582,9.564800365762167,0.0,8.336530108791415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17713348984304192,0.09464360600726282,-1.930843583802973
103,PR-103,129.4643777049535,56.06994855767587,37.28929077485493,12.076958392564958,6.7036993902559825,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.43309170871278635,0.2880274206379489,0.7659489029806434
105,PR-105,72.02005152257121,4.55500330413702,0.0,4.55500330413702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0632463210986384,0.0,-3.1918094201708884
107,PR-107,165.575981805702,31.317379832479684,8.451609124389497,22.86577070809019,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18914204518641842,0.051043690227409816,-1.2098912365384844
109,PR-109,122.71061673898393,28.985229005197603,15.048410272484217,13.400063604643577,0.5367551280698095,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.2362079971193665,0.12263331953170348,0.5101487907162383
111,PR-111,120.68804947806746,82.682043799373,48.91553888575733,32.46946335575217,1.297041557863508,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.6850889061256952,0.40530557165601316,4.838692259994348
